
--- CSV DUMP START ---
time_s,dt_s,omega_meas_deg_s,omega_corr_deg_s,roll_biased_deg,roll_unbiased_deg
15.976001,0.010000,1.892090,0.064424,7.620710,-0.098250
15.983001,0.006974,1.831055,0.003389,7.633480,-0.098226
15.990001,0.006998,1.708984,-0.118682,7.645439,-0.099056
15.997001,0.007000,1.892090,0.064424,7.658684,-0.098605
16.004002,0.007000,1.892090,0.064424,7.671928,-0.098154
16.012001,0.008000,1.892090,0.064424,7.687065,-0.097639
16.021000,0.009000,1.831055,0.003389,7.703545,-0.097609
16.029001,0.008000,1.647949,-0.179717,7.716728,-0.099046
16.038000,0.009000,1.647949,-0.179717,7.731560,-0.100664
16.046001,0.008000,1.708984,-0.118682,7.745232,-0.101613
16.055000,0.009000,1.770020,-0.057647,7.761162,-0.102132
16.063002,0.008000,1.770020,-0.057647,7.775322,-0.102593
16.071001,0.008000,1.831055,0.003389,7.789970,-0.102566
16.080000,0.009000,1.892090,0.064424,7.806999,-0.101986
16.088001,0.008000,1.831055,0.003389,7.821648,-0.101959
16.097000,0.009000,1.770020,-0.057647,7.837578,-0.102478
16.105001,0.008000,1.708984,-0.118682,7.851250,-0.103427
16.114000,0.009000,1.831055,0.003389,7.867729,-0.103397
16.122002,0.008000,1.953125,0.125459,7.883354,-0.102393
16.131001,0.009000,1.953125,0.125459,7.900932,-0.101264
16.139000,0.008000,1.953125,0.125459,7.916557,-0.100260
16.148001,0.009000,1.892090,0.064424,7.933586,-0.099681
16.156000,0.008000,1.892090,0.064424,7.948723,-0.099165
16.164001,0.008000,1.831055,0.003389,7.963371,-0.099138
16.173000,0.009000,1.770020,-0.057647,7.979301,-0.099657
16.181002,0.008000,1.831055,0.003389,7.993950,-0.099630
16.190001,0.009000,1.770020,-0.057647,8.009880,-0.100149
16.198000,0.008000,1.831055,0.003389,8.024529,-0.100122
16.207001,0.009000,1.708984,-0.118682,8.039909,-0.101190
16.215000,0.008000,1.770020,-0.057647,8.054070,-0.101651
16.224001,0.009000,1.831055,0.003389,8.070549,-0.101620
16.232000,0.008000,1.708984,-0.118682,8.084221,-0.102570
16.241001,0.009000,1.708984,-0.118682,8.099602,-0.103638
16.249001,0.008000,1.770020,-0.057647,8.113762,-0.104099
16.257000,0.008000,1.831055,0.003389,8.128410,-0.104072
16.266001,0.009000,1.831055,0.003389,8.144890,-0.104042
16.274000,0.008000,1.770020,-0.057647,8.159050,-0.104503
16.283001,0.009000,1.770020,-0.057647,8.174980,-0.105022
16.291000,0.008000,1.770020,-0.057647,8.189140,-0.105483
16.300001,0.009000,1.770020,-0.057647,8.205070,-0.106002
16.308001,0.008000,1.708984,-0.118682,8.218742,-0.106951
16.317001,0.009000,1.770020,-0.057647,8.234673,-0.107470
16.325001,0.008000,1.770020,-0.057647,8.248833,-0.107931
16.334002,0.009000,1.770020,-0.057647,8.264763,-0.108450
16.342001,0.008000,1.953125,0.125459,8.280388,-0.107446
16.350000,0.008000,1.892090,0.064424,8.295525,-0.106931
16.359001,0.009000,1.831055,0.003389,8.312004,-0.106900
16.367001,0.008000,1.831055,0.003389,8.326653,-0.106873
16.376001,0.009000,1.892090,0.064424,8.343681,-0.106293
16.384001,0.008000,2.014160,0.186494,8.359795,-0.104801
22.347000,0.010000,1.770020,-0.057647,10.655506,-0.130094
22.354002,0.006978,1.831055,0.003389,10.668283,-0.130070
22.363001,0.008998,1.770020,-0.057647,10.684210,-0.130589
22.371000,0.008000,1.770020,-0.057647,10.698370,-0.131050
22.380001,0.009000,1.831055,0.003389,10.714849,-0.131020
22.388000,0.008000,1.770020,-0.057647,10.729010,-0.131481
22.396002,0.008000,1.770020,-0.057647,10.743170,-0.131942
22.405001,0.009000,1.708984,-0.118682,10.758551,-0.133010
22.413002,0.008000,1.770020,-0.057647,10.772711,-0.133471
22.422001,0.009000,1.708984,-0.118682,10.788092,-0.134539
22.430000,0.008000,1.770020,-0.057647,10.802252,-0.135001
22.439001,0.009000,1.831055,0.003389,10.818731,-0.134970
22.447001,0.008000,1.647949,-0.179717,10.831915,-0.136408
22.456001,0.009000,1.770020,-0.057647,10.847845,-0.136927
22.464001,0.008000,1.708984,-0.118682,10.861517,-0.137876
22.473001,0.009000,1.708984,-0.118682,10.876898,-0.138944
22.481001,0.008000,1.708984,-0.118682,10.890570,-0.139894
22.489000,0.008000,1.770020,-0.057647,10.904730,-0.140355
22.498001,0.009000,1.770020,-0.057647,10.920660,-0.140874
22.506001,0.008000,1.647949,-0.179717,10.933844,-0.142311
22.515001,0.009000,1.708984,-0.118682,10.949224,-0.143379
22.523001,0.008000,1.647949,-0.179717,10.962408,-0.144817
22.532001,0.009000,1.770020,-0.057647,10.978338,-0.145336
22.540001,0.008000,1.831055,0.003389,10.992987,-0.145309
22.549002,0.009000,1.708984,-0.118682,11.008368,-0.146377
22.557001,0.008000,1.708984,-0.118682,11.022039,-0.147327
22.566002,0.009000,1.708984,-0.118682,11.037420,-0.148395
22.574001,0.008000,1.708984,-0.118682,11.051092,-0.149344
22.582001,0.008000,1.770020,-0.057647,11.065252,-0.149805
22.591002,0.009000,1.770020,-0.057647,11.081182,-0.150324
22.599001,0.008000,1.708984,-0.118682,11.094854,-0.151274
22.608002,0.009000,1.708984,-0.118682,11.110235,-0.152342
22.616001,0.008000,1.770020,-0.057647,11.124395,-0.152803
22.625002,0.009000,1.708984,-0.118682,11.139776,-0.153871
22.633001,0.008000,1.770020,-0.057647,11.153936,-0.154332
22.642000,0.009000,1.892090,0.064424,11.170965,-0.153752
22.650002,0.008000,1.708984,-0.118682,11.184637,-0.154702
22.659000,0.009000,1.831055,0.003389,11.201117,-0.154671
22.667002,0.008000,1.770020,-0.057647,11.215277,-0.155132
22.675001,0.008000,1.831055,0.003389,11.229925,-0.155105
22.684002,0.009000,1.770020,-0.057647,11.245855,-0.155624
22.692001,0.008000,1.708984,-0.118682,11.259527,-0.156574
22.701000,0.009000,1.831055,0.003389,11.276007,-0.156543
22.709002,0.008000,1.708984,-0.118682,11.289679,-0.157493
22.718000,0.009000,1.831055,0.003389,11.306158,-0.157462
22.726002,0.008000,1.892090,0.064424,11.321295,-0.156947
22.735001,0.009000,1.770020,-0.057647,11.337225,-0.157466
22.743002,0.008000,1.831055,0.003389,11.351873,-0.157438
22.752001,0.009000,1.831055,0.003389,11.368353,-0.157408
22.760000,0.008000,1.708984,-0.118682,11.382025,-0.158357
24.538002,0.010000,1.831055,0.003389,12.379157,-0.184719
24.545002,0.006978,1.708984,-0.118682,12.391083,-0.185547
24.553001,0.007998,1.586914,-0.240752,12.403775,-0.187473
24.561001,0.008000,1.708984,-0.118682,12.417447,-0.188422
24.570002,0.009000,1.708984,-0.118682,12.432828,-0.189490
24.578001,0.008000,1.770020,-0.057647,12.446988,-0.189951
24.587002,0.009000,1.770020,-0.057647,12.462918,-0.190470
24.595001,0.008000,1.831055,0.003389,12.477567,-0.190443
24.603001,0.008000,1.770020,-0.057647,12.491727,-0.190904
24.612001,0.009000,1.708984,-0.118682,12.507108,-0.191972
24.620001,0.008000,1.770020,-0.057647,12.521268,-0.192433
24.629002,0.009000,1.831055,0.003389,12.537747,-0.192403
24.637001,0.008000,1.892090,0.064424,12.552884,-0.191888
24.646002,0.009000,1.831055,0.003389,12.569364,-0.191857
24.654001,0.008000,1.953125,0.125459,12.584989,-0.190853
24.663002,0.009000,1.831055,0.003389,12.601468,-0.190823
24.671001,0.008000,1.708984,-0.118682,12.615140,-0.191772
24.680000,0.009000,1.770020,-0.057647,12.631070,-0.192291
24.688002,0.008000,1.831055,0.003389,12.645719,-0.192264
24.696001,0.008000,1.770020,-0.057647,12.659879,-0.192725
24.705002,0.009000,1.892090,0.064424,12.676908,-0.192145
24.713001,0.008000,1.831055,0.003389,12.691556,-0.192118
24.722002,0.009000,1.892090,0.064424,12.708585,-0.191538
24.730001,0.008000,1.770020,-0.057647,12.722745,-0.192000
24.739000,0.009000,1.770020,-0.057647,12.738675,-0.192518
24.747002,0.008000,1.831055,0.003389,12.753324,-0.192491
24.756001,0.009000,1.831055,0.003389,12.769803,-0.192461
24.764002,0.008000,1.770020,-0.057647,12.783963,-0.192922
24.773001,0.009000,1.770020,-0.057647,12.799893,-0.193441
24.781002,0.008000,1.831055,0.003389,12.814542,-0.193414
24.789001,0.008000,1.770020,-0.057647,12.828702,-0.193875
24.798000,0.009000,1.708984,-0.118682,12.844083,-0.194943
24.806002,0.008000,1.831055,0.003389,12.858731,-0.194916
24.815001,0.009000,1.892090,0.064424,12.875760,-0.194336
24.823002,0.008000,1.831055,0.003389,12.890409,-0.194309
24.832001,0.009000,1.770020,-0.057647,12.906339,-0.194828
24.840002,0.008000,1.770020,-0.057647,12.920499,-0.195289
24.849001,0.009000,1.770020,-0.057647,12.936429,-0.195808
24.857000,0.008000,1.708984,-0.118682,12.950101,-0.196757
24.866001,0.009000,1.831055,0.003389,12.966580,-0.196727
