time_s,Ts_s,gx_deg_s,gy_deg_s,gz_deg_s,ax_g,ay_g,az_g,omega_roll_deg_s,omega_used_deg_s,roll_gyro_deg,roll_acc_deg,roll_kf_deg,theta_pred_deg,residual_deg,K,P_pred,P
2.698000,0.021000,1.831055,2.563477,1.770020,-0.109375,-0.000488,0.997437,1.831055,0.003389,0.055850,0.027881,-0.018351,-0.029909,0.057790,0.20000033,0.00220500,0.00176400
2.719000,0.021000,1.831055,2.807617,1.525879,-0.110596,-0.000244,0.998169,1.831055,0.003389,0.055921,0.013929,-0.011838,-0.018280,0.032208,0.20000021,0.00220500,0.00176400
2.740000,0.021000,1.708984,2.746582,1.647949,-0.110962,0.001831,0.999146,1.708984,-0.118682,0.053428,-0.104360,-0.032336,-0.014330,-0.090029,0.20000012,0.00220500,0.00176400
2.761000,0.021000,1.770020,2.685547,1.647949,-0.110840,0.000732,0.997803,1.770020,-0.057647,0.052218,-0.041800,-0.035197,-0.033547,-0.008253,0.20000011,0.00220500,0.00176400
2.782000,0.021000,1.831055,2.929688,1.647949,-0.111206,-0.000610,0.997559,1.831055,0.003389,0.052289,0.034840,-0.021133,-0.035126,0.069967,0.20000006,0.00220500,0.00176400
2.803000,0.021000,1.770020,2.807617,1.647949,-0.110840,0.000854,0.997559,1.770020,-0.057647,0.051078,-0.048778,-0.027631,-0.022344,-0.026435,0.20000003,0.00220500,0.00176400
2.824000,0.021000,1.831055,2.868652,1.831055,-0.109863,0.001709,0.997559,1.831055,0.003389,0.051150,-0.097567,-0.041561,-0.027559,-0.070008,0.20000002,0.00220500,0.00176400
2.845000,0.021000,1.831055,2.746582,1.586914,-0.109985,-0.000366,0.997559,1.831055,0.003389,0.051221,0.020907,-0.029010,-0.041490,0.062397,0.20000002,0.00220500,0.00176400
2.866000,0.021000,1.831055,2.868652,1.525879,-0.110474,0.000122,0.996460,1.831055,0.003389,0.051292,-0.006976,-0.024547,-0.028939,0.021963,0.19999999,0.00220500,0.00176400
2.887000,0.021000,1.831055,2.746582,1.647949,-0.109985,0.001221,0.997681,1.831055,0.003389,0.051363,-0.069682,-0.033517,-0.024475,-0.045206,0.19999999,0.00220500,0.00176400
2.908000,0.021000,1.708984,2.624512,1.586914,-0.109131,-0.000244,0.997803,1.708984,-0.118682,0.048871,0.013936,-0.026020,-0.036009,0.049945,0.19999999,0.00220500,0.00176400
2.929000,0.021000,1.892090,2.807617,1.708984,-0.110107,-0.000122,0.997192,1.892090,0.064424,0.050224,0.006971,-0.018339,-0.024667,0.031639,0.19999999,0.00220500,0.00176400
2.950000,0.021000,1.831055,2.624512,1.586914,-0.110229,0.000854,0.997070,1.831055,0.003389,0.050295,-0.048805,-0.024376,-0.018268,-0.030537,0.19999999,0.00220500,0.00176400
2.971000,0.021000,1.770020,2.807617,1.464844,-0.109985,0.000122,0.998413,1.770020,-0.057647,0.049084,-0.006963,-0.021862,-0.025586,0.018623,0.19999999,0.00220500,0.00176400
2.992000,0.021000,1.770020,2.746582,1.708984,-0.109619,0.000732,0.996094,1.770020,-0.057647,0.047874,-0.041876,-0.026833,-0.023072,-0.018804,0.19999999,0.00220500,0.00176400
3.013000,0.021000,1.831055,2.746582,1.647949,-0.109375,0.000366,1.000488,1.831055,0.003389,0.047945,-0.020848,-0.025579,-0.026762,0.005914,0.19999999,0.00220500,0.00176400
