time_s,Ts_s,gx_deg_s,gy_deg_s,gz_deg_s,ax_g,ay_g,az_g,omega_roll_deg_s,omega_used_deg_s,roll_gyro_deg,roll_acc_deg,roll_kf_deg,theta_pred_deg,residual_deg,K,P_pred,P
3.727000,0.010000,1.770020,2.746582,1.586914,-0.129272,-0.000244,0.993530,1.770020,-0.057647,-0.380931,0.013962,0.017841,0.018249,-0.004287,0.09512492,0.00105125,0.00095125
3.748000,0.010000,1.892090,2.807617,1.708984,-0.129395,-0.000488,0.996216,1.892090,0.064424,-0.380287,0.027849,0.019376,0.018485,0.009363,0.09512492,0.00105125,0.00095125
3.769000,0.010000,1.770020,2.746582,1.525879,-0.130493,-0.000366,0.995605,1.770020,-0.057647,-0.380864,0.020896,0.018999,0.018800,0.002097,0.09512492,0.00105125,0.00095125
3.790000,0.010000,1.770020,2.807617,1.708984,-0.130249,-0.000610,0.996460,1.770020,-0.057647,-0.381440,0.034799,0.019980,0.018423,0.016376,0.09512492,0.00105125,0.00095125
3.811000,0.010000,1.892090,2.807617,1.708984,-0.130005,-0.000610,0.996094,1.892090,0.064424,-0.380796,0.034812,0.021974,0.020625,0.014188,0.09512492,0.00105125,0.00095125
3.832000,0.010000,1.708984,2.868652,1.708984,-0.128784,-0.000732,0.996216,1.708984,-0.118682,-0.381983,0.041776,0.022784,0.020787,0.020989,0.09512492,0.00105125,0.00095125
3.853000,0.010000,1.831055,2.746582,1.525879,-0.129395,-0.000122,0.997192,1.831055,0.003389,-0.381949,0.006955,0.021309,0.022818,-0.015862,0.09512492,0.00105125,0.00095125
3.874000,0.010000,1.770020,2.868652,1.586914,-0.129883,-0.000366,0.996460,1.770020,-0.057647,-0.382525,0.020880,0.020747,0.020732,0.000148,0.09512492,0.00105125,0.00095125
3.895000,0.010000,1.831055,2.746582,1.770020,-0.129883,-0.000244,0.996094,1.831055,0.003389,-0.382491,0.013925,0.020128,0.020780,-0.006855,0.09512492,0.00105125,0.00095125
3.916000,0.010000,1.770020,2.807617,1.647949,-0.129395,-0.000244,0.996582,1.770020,-0.057647,-0.383068,0.013919,0.019016,0.019552,-0.005632,0.09512492,0.00105125,0.00095125
