time_s,Ts_s,gx_deg_s,gy_deg_s,gz_deg_s,ax_g,ay_g,az_g,omega_roll_deg_s,omega_used_deg_s,roll_gyro_deg,roll_acc_deg,roll_kf_deg,theta_pred_deg,residual_deg,K,P_pred,P
1.312000,0.021000,1.892090,2.807617,1.708984,-0.127319,-0.000610,0.995972,1.892090,0.064424,-0.114667,0.034829,0.023223,0.022003,0.012825,0.09512528,0.00463603,0.00419502
1.333000,0.021000,1.953125,2.929688,1.525879,-0.127441,-0.000610,0.995361,1.953125,0.125459,-0.112032,0.034849,0.026713,0.025858,0.008991,0.09512522,0.00463602,0.00419502
1.354000,0.021000,1.953125,2.929688,1.770020,-0.126587,-0.000610,0.994385,1.953125,0.125459,-0.109398,0.034886,0.029875,0.029348,0.005539,0.09512516,0.00463602,0.00419502
1.375000,0.021001,1.708984,2.929688,1.647949,-0.127563,-0.000366,0.994995,1.708984,-0.118682,-0.111890,0.020917,0.026767,0.027382,-0.006466,0.09511770,0.00463606,0.00419509
1.396000,0.020999,1.770020,2.807617,1.525879,-0.127930,-0.000732,0.995117,1.770020,-0.057647,-0.113101,0.041826,0.027105,0.025557,0.016270,0.09513385,0.00463605,0.00419500
1.417000,0.021000,1.770020,2.807617,1.647949,-0.127441,-0.000610,0.995361,1.770020,-0.057647,-0.114311,0.034849,0.026746,0.025894,0.008955,0.09512480,0.00463600,0.00419500
1.438000,0.021000,1.770020,2.746582,1.525879,-0.127075,-0.000610,0.995605,1.770020,-0.057647,-0.115522,0.034842,0.026421,0.025535,0.009307,0.09512483,0.00463600,0.00419500
1.459000,0.021000,1.831055,2.807617,1.647949,-0.127930,-0.000488,0.994141,1.831055,0.003389,-0.115451,0.027911,0.026627,0.026492,0.001419,0.09512484,0.00463600,0.00419501
1.480000,0.021000,1.892090,2.685547,1.586914,-0.127686,-0.000488,0.996094,1.892090,0.064424,-0.114098,0.027858,0.027968,0.027980,-0.000121,0.09512486,0.00463601,0.00419501
1.501000,0.021000,1.770020,2.868652,1.708984,-0.126709,0.000000,0.995605,1.770020,-0.057647,-0.115308,0.000000,0.024212,0.026758,-0.026758,0.09512486,0.00463601,0.00419501
1.522000,0.020989,1.770020,2.807617,1.647949,-0.128052,-0.000366,0.995361,1.770020,-0.057647,-0.116518,0.020908,0.022803,0.023002,-0.002094,0.09520651,0.00463554,0.00419421
1.543000,0.021011,1.892090,2.990723,1.708984,-0.127686,-0.000610,0.995239,1.892090,0.064424,-0.115165,0.034852,0.025173,0.024156,0.010696,0.09502857,0.00463567,0.00419515
1.564000,0.021000,1.770020,2.746582,1.708984,-0.127563,-0.000488,0.995728,1.770020,-0.057647,-0.116375,0.027869,0.024334,0.023962,0.003906,0.09512757,0.00463615,0.00419513
1.585000,0.021000,1.770020,2.929688,1.708984,-0.127441,-0.000610,0.993408,1.770020,-0.057647,-0.117586,0.034916,0.024245,0.023123,0.011793,0.09512708,0.00463613,0.00419510
1.606000,0.021000,1.586914,2.990723,1.770020,-0.128418,-0.000732,0.995361,1.586914,-0.240752,-0.122642,0.041814,0.021342,0.019189,0.022624,0.09512668,0.00463610,0.00419509
