
--- CSV DUMP START ---
time_s,dt_s,ax_g,ay_g,az_g,roll_acc_deg
0.010000,0.011082,-0.126221,0.028320,0.713867,-2.237164
0.022000,0.011542,-0.070068,0.004395,0.938477,-0.267548
0.031000,0.009000,-0.082642,0.010864,0.999146,-0.620864
0.039000,0.008000,-0.083008,0.010864,1.000610,-0.619943
0.047000,0.008000,-0.083740,0.011230,1.000610,-0.640799
0.056000,0.009000,-0.083008,0.010986,1.000732,-0.626832
0.064000,0.008000,-0.082153,0.010986,1.000244,-0.627180
0.073000,0.009000,-0.082520,0.011230,1.000000,-0.641252
0.081000,0.008000,-0.082520,0.012329,1.000366,-0.703721
0.090000,0.009000,-0.082642,0.011963,1.000366,-0.682814
0.098000,0.008000,-0.083496,0.012085,0.998657,-0.690904
0.107000,0.009000,-0.083252,0.010986,0.999634,-0.627503
0.115000,0.008000,-0.082764,0.011841,0.998901,-0.676824
0.124000,0.009000,-0.083008,0.011597,0.999756,-0.662295
0.132000,0.008000,-0.082886,0.010498,0.997803,-0.600727
0.140000,0.008000,-0.082642,0.011108,0.997437,-0.635895
0.149000,0.009000,-0.083008,0.011230,0.997803,-0.642628
0.157000,0.008000,-0.081177,0.011230,0.999878,-0.641400
0.166000,0.009000,-0.082153,0.011475,0.999390,-0.655608
0.174000,0.008000,-0.082520,0.010986,0.998779,-0.628074
0.183000,0.009000,-0.082397,0.011108,1.000366,-0.634058
0.191000,0.008000,-0.082520,0.011108,1.000000,-0.634282
0.200000,0.009000,-0.083008,0.011719,0.999756,-0.669266
0.208000,0.008000,-0.082642,0.011841,1.000610,-0.675683
0.217000,0.009000,-0.082764,0.011108,1.000488,-0.633962
0.225000,0.008000,-0.083252,0.011353,1.000488,-0.647868
0.233000,0.008000,-0.082886,0.011963,1.000244,-0.682883
0.242000,0.009000,-0.083008,0.011230,1.000366,-0.640993
0.250000,0.008000,-0.083252,0.011353,1.000488,-0.647868
0.259000,0.009000,-0.082764,0.009766,1.000488,-0.557335
0.267000,0.008000,-0.083374,0.010010,1.000366,-0.571308
0.276000,0.009000,-0.083374,0.011108,1.000366,-0.634007
0.284000,0.008000,-0.083130,0.011230,1.000488,-0.640909
0.293000,0.009000,-0.083740,0.011353,1.000366,-0.647921
0.301000,0.008000,-0.082275,0.011353,1.000488,-0.647920
0.310000,0.009000,-0.082520,0.011230,1.000366,-0.641019
0.318000,0.008000,-0.082764,0.010986,1.000244,-0.627148
0.326000,0.008000,-0.083862,0.011963,1.000366,-0.682745
0.335000,0.009000,-0.083252,0.011475,1.000610,-0.654755
0.343000,0.008000,-0.083252,0.010620,1.000488,-0.606074
0.352000,0.009000,-0.082275,0.011353,1.000000,-0.648234
0.360000,0.008000,-0.082764,0.011841,1.000366,-0.675840
0.369000,0.009000,-0.081909,0.010742,1.000488,-0.613107
0.377000,0.008000,-0.082153,0.011353,1.000366,-0.648005
0.386000,0.009000,-0.082153,0.010620,1.000244,-0.606275
0.394000,0.008000,-0.083252,0.011353,0.999756,-0.648340
0.403000,0.009000,-0.083496,0.010986,0.999268,-0.627719
0.411000,0.008000,-0.082886,0.010742,1.000366,-0.613132
0.419000,0.008000,-0.083374,0.011108,1.000244,-0.634084
0.428000,0.009000,-0.082642,0.010986,1.000366,-0.627079
0.545000,0.117047,-0.082031,0.010742,0.999756,-0.613547
0.555000,0.009953,-0.084229,0.010620,0.999756,-0.606465
0.563000,0.008000,-0.082642,0.010620,1.000488,-0.606104
0.572000,0.009000,-0.083740,0.010986,1.000122,-0.627174
0.580000,0.008000,-0.083008,0.011719,1.000366,-0.668860
0.589000,0.009000,-0.083008,0.011841,1.000488,-0.675745
0.597000,0.008000,-0.082397,0.011353,1.000244,-0.648071
0.605000,0.008000,-0.082031,0.011108,1.000244,-0.634154
0.614000,0.009000,-0.083252,0.011597,1.000488,-0.661800
0.622000,0.008000,-0.081909,0.011230,1.000488,-0.640973
0.631000,0.009000,-0.082275,0.011108,1.000488,-0.633988
0.639000,0.008000,-0.083130,0.010376,0.999878,-0.592507
0.648000,0.009000,-0.082886,0.011230,1.000000,-0.641233
0.656000,0.008000,-0.082520,0.011108,1.000366,-0.634052
0.665000,0.009000,-0.081665,0.011230,1.000244,-0.641141
0.673000,0.008000,-0.082397,0.010498,0.999268,-0.599877
0.682000,0.009000,-0.082031,0.010498,1.000244,-0.599313
0.690000,0.008000,-0.083740,0.011230,1.000244,-0.641032
0.698000,0.008000,-0.082764,0.010986,0.999878,-0.627376
0.707000,0.009000,-0.083008,0.010986,1.000244,-0.627136
0.715000,0.008000,-0.082764,0.011230,1.000000,-0.641239
0.724000,0.009000,-0.084106,0.011597,1.000488,-0.661753
0.732000,0.008000,-0.082764,0.012207,1.000488,-0.696656
0.741000,0.009000,-0.082153,0.011597,1.000488,-0.661859
0.749000,0.008000,-0.082642,0.011230,1.000366,-0.641012
0.758000,0.009000,-0.083008,0.010742,1.000488,-0.613052
0.766000,0.008000,-0.083496,0.010620,1.000488,-0.606061
0.775000,0.009000,-0.081787,0.011108,1.000244,-0.634167
0.783000,0.008000,-0.083496,0.010986,1.000244,-0.627110
0.792000,0.009000,-0.083740,0.010742,1.000488,-0.613015
0.800000,0.008000,-0.081909,0.010864,1.000366,-0.620149
0.808000,0.008000,-0.082275,0.011108,1.000000,-0.634295
0.817000,0.009000,-0.081787,0.011108,1.000366,-0.634090
0.825000,0.008000,-0.082886,0.011719,0.999512,-0.669434
0.834000,0.009000,-0.083008,0.011719,1.000244,-0.668941
0.842000,0.008000,-0.082764,0.011475,1.000244,-0.655019
0.851000,0.009000,-0.083496,0.011353,1.000488,-0.647855
0.859000,0.008000,-0.082886,0.011108,1.000488,-0.633956
0.868000,0.009000,-0.083740,0.010864,1.000488,-0.619980
0.876000,0.008000,-0.083374,0.011353,1.000488,-0.647862
0.885000,0.009000,-0.084106,0.011597,1.000488,-0.661753
0.893000,0.008000,-0.082397,0.011230,1.000610,-0.640870
0.901000,0.008000,-0.083008,0.012207,1.000366,-0.696726
0.910000,0.009000,-0.083008,0.011353,1.000488,-0.647881
0.918000,0.008000,-0.082275,0.011597,1.000122,-0.662093
0.927000,0.009000,-0.083008,0.010620,1.000000,-0.606380
0.935000,0.008000,-0.083130,0.011353,0.999878,-0.648268
0.944000,0.009000,-0.083008,0.011230,0.999756,-0.641382
0.952000,0.008000,-0.083740,0.010986,1.000000,-0.627250
0.961000,0.009000,-0.083008,0.011108,0.999878,-0.634334
1.078000,0.117041,-0.083496,0.011230,1.000488,-0.640890
1.087000,0.008959,-0.082397,0.011230,1.000488,-0.640948
1.096000,0.009000,-0.082397,0.011230,1.000122,-0.641181
1.104000,0.008000,-0.081787,0.011475,1.000366,-0.654992
1.113000,0.009000,-0.081543,0.011841,1.000122,-0.676071
1.121000,0.008000,-0.083252,0.011963,1.000488,-0.682697
1.130000,0.009000,-0.083252,0.011597,1.000488,-0.661800
1.138000,0.008000,-0.083252,0.010742,1.000488,-0.613039
1.147000,0.009000,-0.083008,0.010742,1.000488,-0.613052
1.155000,0.008000,-0.082764,0.011230,1.000488,-0.640928
1.164000,0.009000,-0.083008,0.010864,1.000488,-0.620018
1.172000,0.008000,-0.082275,0.011230,1.000122,-0.641187
1.180000,0.008000,-0.082886,0.012085,0.999512,-0.690352
1.189000,0.009000,-0.084106,0.011353,1.000488,-0.647822
1.197000,0.008000,-0.083252,0.011841,1.000488,-0.675731
1.206000,0.009000,-0.082764,0.010498,1.000122,-0.599350
1.214000,0.008000,-0.082764,0.010986,1.000000,-0.627300
1.223000,0.009000,-0.081177,0.010254,1.000488,-0.585275
1.231000,0.008000,-0.083862,0.011475,1.000366,-0.654880
1.240000,0.009000,-0.082886,0.011475,1.000000,-0.655171
1.248000,0.008000,-0.082031,0.011475,1.000488,-0.654900
1.257000,0.009000,-0.083008,0.012329,1.000366,-0.703693
1.265000,0.008000,-0.083130,0.011475,1.000488,-0.654841
