
--- CSV DUMP START ---
time_s,Ts_s,gx_deg_s,gy_deg_s,gz_deg_s,ax_g,ay_g,az_g,omega_roll_deg_s,omega_used_deg_s,roll_gyro_deg,roll_acc_deg,roll_kf_deg,theta_pred_deg,residual_deg,K,P_pred,P
0.010000,0.011129,4.760742,-98.754883,-15.686035,-0.149902,0.048096,0.470093,4.760742,2.933076,0.032642,-5.567332,-5.567297,0.032642,-5.599974,0.99999380,10.00012398,0.00006199
0.022000,0.011494,-18.127441,284.484863,52.185059,-0.020020,0.002319,0.921021,-18.127441,-19.955107,-0.196722,-0.144249,-1.579440,-5.796661,5.652412,0.74609238,0.00019410,0.00004928
0.033000,0.011021,-2.197266,64.208984,12.878418,-0.023193,0.004761,0.997803,-2.197266,-4.024932,-0.241081,-0.273295,-0.627618,-1.623799,1.350503,0.73763663,0.00017075,0.00004480
0.044000,0.011000,1.647949,4.516602,2.075195,-0.024902,0.005127,0.999023,1.647949,-0.179717,-0.243057,-0.293946,-0.383681,-0.629595,0.335649,0.73265290,0.00016580,0.00004433
0.055000,0.011000,1.647949,4.394531,2.014160,-0.024780,0.004272,0.999390,1.647949,-0.179717,-0.245034,-0.244867,-0.282585,-0.385658,0.140791,0.73209405,0.00016533,0.00004429
0.066000,0.011000,1.525879,4.333496,2.014160,-0.025513,0.004761,0.998169,1.525879,-0.301787,-0.248354,-0.273180,-0.276589,-0.285905,0.012726,0.73205394,0.00016529,0.00004429
0.077000,0.011000,1.586914,4.272461,2.075195,-0.025024,0.004150,0.997925,1.586914,-0.240752,-0.251002,-0.238218,-0.249209,-0.279238,0.041019,0.73205101,0.00016529,0.00004429
0.088000,0.011000,1.708984,4.333496,1.953125,-0.024292,0.004883,0.997314,1.708984,-0.118682,-0.252308,-0.280432,-0.272416,-0.250515,-0.029918,0.73205084,0.00016529,0.00004429
0.099000,0.011000,1.953125,4.516602,1.647949,-0.024414,0.004761,0.998413,1.953125,0.125459,-0.250928,-0.273120,-0.272562,-0.271036,-0.002084,0.73205084,0.00016529,0.00004429
0.110000,0.011000,1.892090,4.577637,1.708984,-0.023437,0.004517,0.999390,1.892090,0.064424,-0.250219,-0.258867,-0.262347,-0.271853,0.012986,0.73205084,0.00016529,0.00004429
0.121000,0.011000,1.831055,4.577637,1.708984,-0.024170,0.004150,0.998535,1.831055,0.003389,-0.250182,-0.238078,-0.244571,-0.262310,0.024232,0.73205084,0.00016529,0.00004429
0.132000,0.011000,1.831055,4.333496,1.953125,-0.024780,0.004272,0.997803,1.831055,0.003389,-0.250144,-0.245256,-0.245062,-0.244533,-0.000723,0.73205084,0.00016529,0.00004429
0.143000,0.011000,1.892090,4.333496,2.014160,-0.023926,0.004639,0.997803,1.892090,0.064424,-0.249436,-0.266283,-0.260407,-0.244354,-0.021929,0.73205084,0.00016529,0.00004429
0.154000,0.011000,1.892090,4.272461,1.831055,-0.023926,0.004883,0.997314,1.892090,0.064424,-0.248727,-0.280435,-0.274879,-0.259698,-0.020737,0.73205084,0.00016529,0.00004429
