
--- CSV DUMP START ---
time_s,dt_s,gx_deg_s,gy_deg_s,gz_deg_s,omega_roll_deg_s,roll_gyro_deg
0.010000,0.011112,-21.789551,257.202148,50.415039,-21.789551,-0.242125
0.022000,0.011516,15.747070,-242.736816,-43.823242,15.747070,-0.060782
0.031000,0.009000,4.760742,-47.790527,-7.690430,4.760742,-0.017936
0.039000,0.008000,1.647949,3.845215,1.647949,1.647949,-0.004752
0.047000,0.008000,1.647949,4.089355,1.770020,1.647949,0.008432
0.056000,0.009000,1.770020,4.089355,1.831055,1.770020,0.024362
0.064000,0.008000,1.831055,4.089355,1.892090,1.831055,0.039010
0.073000,0.009000,1.708984,4.089355,1.953125,1.708984,0.054391
0.081000,0.008000,2.075195,4.333496,1.647949,2.075195,0.070993
0.090000,0.009000,2.075195,4.394531,1.647949,2.075195,0.089669
0.098000,0.008000,2.014160,4.272461,1.708984,2.014160,0.105783
0.107000,0.009000,2.075195,4.211426,1.770020,2.075195,0.124459
0.115000,0.008000,1.953125,4.272461,1.770020,1.953125,0.140084
0.124000,0.009000,1.892090,4.211426,1.831055,1.892090,0.157113
0.132000,0.008000,1.953125,4.211426,1.708984,1.953125,0.172738
0.140000,0.008000,1.892090,4.150391,1.892090,1.892090,0.187875
0.149000,0.009000,1.831055,4.028320,1.892090,1.831055,0.204355
0.157000,0.008000,1.892090,4.028320,1.953125,1.892090,0.219491
0.166000,0.009000,1.770020,3.967285,1.953125,1.770020,0.235421
0.174000,0.008000,1.647949,3.662109,1.953125,1.647949,0.248605
0.183000,0.009000,1.708984,3.356934,1.892090,1.708984,0.263986
0.191000,0.008000,1.708984,3.112793,1.831055,1.708984,0.277658
0.200000,0.009000,1.831055,2.990723,1.831055,1.831055,0.294137
0.208000,0.008000,1.770020,2.929688,1.953125,1.770020,0.308297
0.217000,0.009000,1.831055,2.807617,1.892090,1.831055,0.324777
0.225000,0.008000,1.708984,2.624512,1.831055,1.708984,0.338449
0.233000,0.008000,1.647949,2.624512,1.831055,1.647949,0.351632
0.242000,0.009000,1.708984,2.502441,1.708984,1.708984,0.367013
0.250000,0.008000,1.770020,2.258301,1.586914,1.770020,0.381173
0.259000,0.009000,1.708984,2.441406,1.647949,1.708984,0.396554
0.267000,0.008000,1.770020,2.319336,1.647949,1.770020,0.410714
0.276000,0.009000,1.831055,2.197266,1.647949,1.831055,0.427194
0.284000,0.008000,1.770020,2.197266,1.586914,1.770020,0.441354
0.293000,0.009000,1.770020,2.258301,1.586914,1.770020,0.457284
0.301000,0.008000,1.953125,2.319336,1.586914,1.953125,0.472909
0.310000,0.009000,1.770020,2.319336,1.647949,1.770020,0.488839
0.318000,0.008000,1.831055,2.258301,1.586914,1.831055,0.503488
0.327000,0.009000,1.831055,2.380371,1.586914,1.831055,0.519967
0.335000,0.008000,1.647949,2.319336,1.525879,1.647949,0.533151
0.343000,0.008000,1.708984,2.319336,1.464844,1.708984,0.546823
0.352000,0.009000,1.831055,2.319336,1.525879,1.831055,0.563302
0.360000,0.008000,1.770020,2.380371,1.525879,1.770020,0.577462
0.369000,0.009000,1.770020,2.502441,1.647949,1.770020,0.593393
0.377000,0.008000,1.831055,2.502441,1.770020,1.831055,0.608041
0.386000,0.009000,1.892090,2.746582,1.892090,1.892090,0.625070
0.394000,0.008000,1.770020,2.807617,1.770020,1.770020,0.639230
0.403000,0.009000,1.708984,2.685547,1.647949,1.708984,0.654611
0.411000,0.008000,1.831055,2.624512,1.525879,1.831055,0.669259
0.420000,0.009000,1.831055,2.685547,1.586914,1.831055,0.685739
0.428000,0.008000,1.831055,2.746582,1.831055,1.831055,0.700387
0.453000,0.025021,1.892090,2.685547,1.586914,1.892090,0.747729
0.462000,0.008979,1.892090,2.685547,1.647949,1.892090,0.764718
0.470000,0.008000,1.953125,2.624512,1.647949,1.953125,0.780343
0.479000,0.009000,1.831055,2.685547,1.647949,1.831055,0.796823
0.487000,0.008000,1.770020,2.746582,1.586914,1.770020,0.810983
0.496000,0.009000,1.892090,2.807617,1.586914,1.892090,0.828012
0.504000,0.008000,1.831055,2.746582,1.708984,1.831055,0.842660
0.513000,0.009000,1.831055,2.563477,1.647949,1.831055,0.859140
0.521000,0.008000,1.831055,2.624512,1.708984,1.831055,0.873788
0.529000,0.008000,1.831055,2.624512,1.708984,1.831055,0.888437
0.538000,0.009000,1.831055,2.685547,1.770020,1.831055,0.904916
0.546000,0.008000,1.892090,2.868652,1.586914,1.892090,0.920053
0.555000,0.009000,1.953125,2.746582,1.464844,1.953125,0.937631
0.563000,0.008000,1.831055,2.624512,1.525879,1.831055,0.952279
0.572000,0.009000,1.770020,2.624512,1.586914,1.770020,0.968210
0.580000,0.008000,1.831055,2.685547,1.708984,1.831055,0.982858
0.589000,0.009000,1.770020,2.807617,1.770020,1.770020,0.998788
0.597000,0.008000,1.831055,2.746582,1.770020,1.831055,1.013437
0.606000,0.009000,1.892090,2.807617,1.647949,1.892090,1.030465
0.614000,0.008000,1.770020,2.624512,1.770020,1.770020,1.044626
0.622000,0.008000,1.708984,2.624512,1.586914,1.708984,1.058297
0.631000,0.009000,1.892090,2.746582,1.831055,1.892090,1.075326
0.639000,0.008000,1.892090,2.685547,1.647949,1.892090,1.090463
0.648000,0.009000,1.831055,2.746582,1.708984,1.831055,1.106942
0.656000,0.008000,1.831055,2.746582,1.831055,1.831055,1.121591
0.665000,0.009000,1.770020,2.746582,1.770020,1.770020,1.137521
0.673000,0.008000,1.770020,2.807617,1.708984,1.770020,1.151681
0.682000,0.009000,1.770020,2.624512,1.831055,1.770020,1.167611
0.690000,0.008000,1.831055,2.685547,1.708984,1.831055,1.182260
0.699000,0.009000,1.892090,2.685547,1.647949,1.892090,1.199289
0.707000,0.008000,1.831055,2.746582,1.586914,1.831055,1.213937
0.715000,0.008000,1.831055,2.746582,1.647949,1.831055,1.228585
0.724000,0.009000,1.892090,2.746582,1.770020,1.892090,1.245614
0.732000,0.008000,1.831055,2.929688,1.770020,1.831055,1.260263
0.741000,0.009000,1.831055,2.929688,1.708984,1.831055,1.276742
0.749000,0.008000,1.892090,2.685547,1.708984,1.892090,1.291879
0.758000,0.009000,1.831055,2.624512,1.831055,1.831055,1.308358
0.766000,0.008000,1.892090,2.807617,1.831055,1.892090,1.323495
0.775000,0.009000,1.953125,2.746582,1.770020,1.953125,1.341073
0.783000,0.008000,1.831055,2.746582,1.770020,1.831055,1.355722
0.792000,0.009000,1.831055,2.746582,1.831055,1.831055,1.372201
0.800000,0.008000,1.831055,2.685547,1.708984,1.831055,1.386850
0.809000,0.009000,1.770020,2.807617,1.525879,1.770020,1.402780
0.817000,0.008000,1.770020,2.746582,1.525879,1.770020,1.416940
0.825000,0.008000,1.708984,2.807617,1.770020,1.708984,1.430612
0.834000,0.009000,1.831055,2.868652,1.831055,1.831055,1.447091
0.842000,0.008000,1.892090,2.868652,1.708984,1.892090,1.462228
0.851000,0.009000,1.892090,2.746582,1.770020,1.892090,1.479257
0.859000,0.008000,1.831055,2.563477,1.831055,1.831055,1.493905
0.868000,0.009000,1.831055,2.746582,1.770020,1.831055,1.510385
0.989000,0.121029,1.831055,2.868652,1.708984,1.831055,1.731995
0.996000,0.006975,1.831055,2.807617,1.647949,1.831055,1.744767
1.003000,0.006996,1.831055,2.685547,1.586914,1.831055,1.757577
1.011000,0.008000,1.708984,2.746582,1.647949,1.708984,1.771249
1.020000,0.009000,1.831055,2.624512,1.647949,1.831055,1.787729
1.028000,0.008000,2.014160,2.868652,1.586914,2.014160,1.803842
1.037000,0.009000,1.892090,2.746582,1.770020,1.892090,1.820871
1.045000,0.008000,1.770020,2.807617,1.647949,1.770020,1.835031
1.054000,0.009000,1.770020,2.624512,1.647949,1.770020,1.850961
1.062000,0.008000,1.770020,2.685547,1.586914,1.770020,1.865121
1.071000,0.009000,1.892090,2.746582,1.708984,1.892090,1.882150
1.079000,0.008000,1.831055,2.746582,1.586914,1.831055,1.896798
1.088000,0.009000,1.770020,2.746582,1.708984,1.770020,1.912729
1.096000,0.008000,1.831055,2.807617,1.647949,1.831055,1.927377
1.104000,0.008000,1.770020,2.868652,1.647949,1.770020,1.941537
1.113000,0.009000,1.892090,2.868652,1.647949,1.892090,1.958566
1.121000,0.008000,1.770020,2.746582,1.708984,1.770020,1.972726
1.130000,0.009000,1.708984,2.746582,1.647949,1.708984,1.988107
1.138000,0.008000,1.831055,2.563477,1.647949,1.831055,2.002755
1.147000,0.009000,1.953125,2.807617,1.770020,1.953125,2.020334
1.155000,0.008000,1.892090,2.685547,1.647949,1.892090,2.035470
1.164000,0.009000,1.708984,2.685547,1.708984,1.708984,2.050851
1.172000,0.008000,1.770020,2.685547,1.770020,1.770020,2.065011
1.181000,0.009000,1.770020,2.685547,1.770020,1.770020,2.080941
1.189000,0.008000,1.831055,2.685547,1.831055,1.831055,2.095590
1.197000,0.008000,1.770020,2.624512,1.953125,1.770020,2.109750
1.206000,0.009000,1.831055,2.746582,1.708984,1.831055,2.126230
1.214000,0.008000,1.831055,2.746582,1.708984,1.831055,2.140878
1.223000,0.009000,1.831055,2.929688,1.708984,1.831055,2.157357
1.231000,0.008000,1.892090,2.807617,1.708984,1.892090,2.172494
1.240000,0.009000,1.831055,2.685547,1.770020,1.831055,2.188974
1.248000,0.008000,1.831055,2.807617,1.831055,1.831055,2.203622
1.257000,0.009000,1.831055,2.563477,1.831055,1.831055,2.220102
1.265000,0.008000,1.770020,2.624512,1.708984,1.770020,2.234262
1.274000,0.009000,1.892090,2.563477,1.708984,1.892090,2.251291
1.282000,0.008000,1.831055,2.685547,1.647949,1.831055,2.265939
1.290000,0.008000,1.892090,2.624512,1.647949,1.892090,2.281076
1.299000,0.009000,1.831055,2.746582,1.831055,1.831055,2.297555
1.307000,0.008000,1.770020,2.685547,1.708984,1.770020,2.311715
1.316000,0.009000,1.647949,2.685547,1.586914,1.647949,2.326547
1.324000,0.008000,1.708984,2.807617,1.708984,1.708984,2.340219
1.333000,0.009000,1.770020,2.807617,1.586914,1.770020,2.356149
1.341000,0.008000,1.831055,2.807617,1.708984,1.831055,2.370797
1.350000,0.009000,1.770020,2.868652,1.770020,1.770020,2.386728
1.358000,0.008000,1.770020,2.868652,1.770020,1.770020,2.400888
1.367000,0.009000,1.892090,2.746582,1.647949,1.892090,2.417917
1.375000,0.008000,1.892090,2.868652,1.647949,1.892090,2.433053
1.384000,0.009000,1.892090,2.868652,1.770020,1.892090,2.450082
1.392000,0.008000,1.892090,2.807617,1.708984,1.892090,2.465219
1.400000,0.008000,1.892090,2.685547,1.708984,1.892090,2.480356
1.518000,0.118029,1.708984,2.685547,1.586914,1.708984,2.682065
1.527000,0.008971,1.831055,2.685547,1.647949,1.831055,2.698492
1.536000,0.009000,1.831055,2.807617,1.647949,1.831055,2.714971
1.544000,0.008000,1.892090,2.685547,1.647949,1.892090,2.730108
1.553000,0.009000,1.892090,2.807617,1.647949,1.892090,2.747137
1.561000,0.008000,1.892090,2.746582,1.708984,1.892090,2.762273
1.570000,0.009000,1.831055,2.746582,1.708984,1.831055,2.778753
1.578000,0.008000,1.892090,2.746582,1.586914,1.892090,2.793890
1.586000,0.008000,1.831055,2.746582,1.647949,1.831055,2.808538
1.595000,0.009000,1.770020,2.746582,1.770020,1.770020,2.824468
1.603000,0.008000,1.892090,2.807617,1.831055,1.892090,2.839605
1.612000,0.009000,1.892090,2.807617,1.708984,1.892090,2.856634
1.620000,0.008000,1.892090,2.624512,1.586914,1.892090,2.871770
1.629000,0.009000,1.770020,2.746582,1.770020,1.770020,2.887701
1.637000,0.008000,1.892090,2.746582,1.708984,1.892090,2.902837
1.646000,0.009000,1.831055,2.685547,1.586914,1.831055,2.919317
1.654000,0.008000,1.831055,2.746582,1.647949,1.831055,2.933965
1.663000,0.009000,1.831055,2.624512,1.770020,1.831055,2.950445
1.671000,0.008000,1.770020,2.685547,1.831055,1.770020,2.964605
1.679000,0.008000,1.770020,2.685547,1.708984,1.770020,2.978765
1.688000,0.009000,1.831055,2.807617,1.708984,1.831055,2.995245
1.696000,0.008000,1.831055,2.685547,1.770020,1.831055,3.009893
1.705000,0.009000,1.831055,2.746582,1.770020,1.831055,3.026372
1.713000,0.008000,1.708984,2.624512,1.708984,1.708984,3.040044
1.722000,0.009000,1.770020,2.807617,1.708984,1.770020,3.055974
1.730000,0.008000,1.892090,2.746582,1.770020,1.892090,3.071111
1.739000,0.009000,1.831055,2.563477,1.708984,1.831055,3.087591
1.747000,0.008000,1.708984,2.624512,1.647949,1.708984,3.101263
1.756000,0.009000,1.708984,2.685547,1.586914,1.708984,3.116643
1.764000,0.008000,1.831055,2.746582,1.708984,1.831055,3.131292
1.772000,0.008000,1.770020,2.746582,1.525879,1.770020,3.145452
1.781000,0.009000,1.708984,2.746582,1.770020,1.708984,3.160833
1.789000,0.008000,1.708984,2.624512,1.647949,1.708984,3.174505
1.798000,0.009000,1.708984,2.685547,1.708984,1.708984,3.189886
1.806000,0.008000,1.708984,2.746582,1.708984,1.708984,3.203557
1.815000,0.009000,1.708984,2.624512,1.708984,1.708984,3.218938
1.823000,0.008000,1.708984,2.685547,1.586914,1.708984,3.232610
1.832000,0.009000,1.770020,2.685547,1.586914,1.770020,3.248540
1.840000,0.008000,1.831055,2.746582,1.708984,1.831055,3.263189
1.849000,0.009000,1.831055,2.746582,1.770020,1.831055,3.279668
