time_s,Ts_s,gx_deg_s,gy_deg_s,gz_deg_s,ax_g,ay_g,az_g,omega_roll_deg_s,omega_used_deg_s,roll_gyro_deg,roll_acc_deg,roll_kf_deg,theta_pred_deg,residual_deg,K,P_pred,P
2.446000,0.021000,1.647949,2.685547,1.647949,-0.085815,0.000244,1.000000,1.647949,-0.179717,-0.428980,-0.013937,-0.049971,-0.053759,0.039822,0.09512499,0.00463601,0.00419501
2.467000,0.021000,1.831055,2.746582,1.525879,-0.084717,0.001587,1.000244,1.831055,0.003389,-0.428908,-0.090577,-0.053769,-0.049900,-0.040677,0.09512498,0.00463601,0.00419501
2.488000,0.021000,1.708984,2.685547,1.586914,-0.082642,0.000122,0.999023,1.708984,-0.118682,-0.431401,-0.006977,-0.051574,-0.056262,0.049285,0.09512497,0.00463601,0.00419501
2.509000,0.021000,1.831055,2.624512,1.586914,-0.084961,0.000488,0.999634,1.831055,0.003389,-0.431330,-0.027886,-0.049256,-0.051502,0.023616,0.09512496,0.00463601,0.00419501
2.530000,0.021000,1.831055,2.746582,1.525879,-0.085571,0.000732,1.000000,1.831055,0.003389,-0.431258,-0.041812,-0.048483,-0.049185,0.007373,0.09512495,0.00463601,0.00419501
2.551000,0.021000,1.831055,2.685547,1.647949,-0.084839,0.000122,0.999512,1.831055,0.003389,-0.431187,-0.006972,-0.044470,-0.048412,0.041440,0.09512495,0.00463601,0.00419501
2.572000,0.021000,1.831055,2.868652,1.403809,-0.083130,0.001465,0.999756,1.831055,0.003389,-0.431116,-0.083661,-0.048134,-0.044399,-0.039262,0.09512494,0.00463601,0.00419501
2.593000,0.021000,1.770020,2.624512,1.525879,-0.083496,-0.000122,1.000244,1.770020,-0.057647,-0.432327,0.006968,-0.043988,-0.049345,0.056313,0.09512493,0.00463601,0.00419501
2.614000,0.021000,1.831055,2.746582,1.525879,-0.085327,0.000366,0.998779,1.831055,0.003389,-0.432255,-0.020932,-0.041730,-0.043917,0.022985,0.09512492,0.00463601,0.00419501
2.635000,0.021000,1.708984,2.868652,1.647949,-0.085571,0.000610,0.998901,1.708984,-0.118682,-0.434748,-0.034881,-0.043334,-0.044222,0.009341,0.09512492,0.00463601,0.00419501
2.656000,0.021000,1.708984,2.746582,1.525879,-0.084351,0.000854,0.999146,1.708984,-0.118682,-0.437240,-0.048827,-0.046112,-0.045826,-0.003001,0.09512492,0.00463601,0.00419501
2.677000,0.021000,1.770020,2.807617,1.525879,-0.084717,0.000000,0.999390,1.770020,-0.057647,-0.438451,0.000000,-0.042821,-0.047322,0.047322,0.09512492,0.00463601,0.00419501
2.698000,0.020988,1.831055,2.685547,1.647949,-0.086060,0.000366,0.999878,1.831055,0.003389,-0.438380,-0.020908,-0.040670,-0.042750,0.021842,0.09521399,0.00463550,0.00419414
2.719000,0.021012,1.892090,2.685547,1.708984,-0.083984,0.000977,0.999146,1.892090,0.064424,-0.437026,-0.055804,-0.040883,-0.039316,-0.016488,0.09501985,0.00463564,0.00419517
2.740000,0.021000,1.892090,2.807617,1.647949,-0.084595,0.001831,1.000488,1.892090,0.064424,-0.435673,-0.104488,-0.045709,-0.039530,-0.064958,0.09512784,0.00463617,0.00419514
2.761000,0.021000,1.708984,2.685547,1.525879,-0.085205,0.000488,0.998413,1.708984,-0.118682,-0.438165,-0.027919,-0.046272,-0.048202,0.020282,0.09512731,0.00463614,0.00419511
2.782000,0.021000,1.831055,2.746582,1.525879,-0.086182,0.000122,0.999390,1.831055,0.003389,-0.438094,-0.006973,-0.042469,-0.046201,0.039229,0.09512687,0.00463611,0.00419510
2.803000,0.021000,1.831055,2.807617,1.586914,-0.085449,0.000732,0.999634,1.831055,0.003389,-0.438023,-0.041828,-0.042344,-0.042398,0.000571,0.09512652,0.00463609,0.00419508
2.824000,0.021000,1.831055,2.685547,1.586914,-0.085449,0.001465,1.000122,1.831055,0.003389,-0.437952,-0.083614,-0.046205,-0.042273,-0.041342,0.09512623,0.00463608,0.00419507
2.845000,0.021000,1.770020,2.624512,1.586914,-0.085449,0.000244,0.998413,1.770020,-0.057647,-0.439162,-0.013959,-0.044233,-0.047416,0.033457,0.09512599,0.00463607,0.00419506
2.866000,0.021000,1.770020,2.685547,1.647949,-0.084961,0.000244,0.998657,1.770020,-0.057647,-0.440373,-0.013957,-0.042449,-0.045444,0.031487,0.09512580,0.00463606,0.00419505
2.887000,0.021000,1.770020,2.807617,1.586914,-0.084473,0.001221,1.000366,1.770020,-0.057647,-0.441583,-0.069668,-0.046133,-0.043659,-0.026008,0.09512564,0.00463605,0.00419504
2.908000,0.021000,1.770020,2.685547,1.647949,-0.084839,0.001099,0.998779,1.770020,-0.057647,-0.442794,-0.062798,-0.048814,-0.047344,-0.015454,0.09512550,0.00463604,0.00419503
2.929000,0.021000,1.770020,2.624512,1.525879,-0.084717,0.000244,1.000244,1.770020,-0.057647,-0.444005,-0.013935,-0.046592,-0.050025,0.036090,0.09512541,0.00463603,0.00419503
2.950000,0.021000,1.708984,2.685547,1.586914,-0.081787,0.001099,0.998779,1.708984,-0.118682,-0.446497,-0.062814,-0.050390,-0.049084,-0.013730,0.09512531,0.00463603,0.00419503
2.971000,0.021000,1.708984,2.624512,1.525879,-0.085693,0.000000,1.000366,1.708984,-0.118682,-0.448989,0.000000,-0.047852,-0.052882,0.052882,0.09512524,0.00463603,0.00419502
2.992000,0.020988,1.770020,2.746582,1.525879,-0.085571,0.001465,0.998901,1.770020,-0.057647,-0.450199,-0.083715,-0.052361,-0.049062,-0.034653,0.09521425,0.00463552,0.00419415
3.013000,0.021012,1.770020,2.685547,1.586914,-0.085327,0.001221,0.998535,1.770020,-0.057647,-0.451410,-0.069789,-0.055113,-0.053572,-0.016217,0.09502006,0.00463566,0.00419518
