time_s,Ts_s,gx_deg_s,gy_deg_s,gz_deg_s,ax_g,ay_g,az_g,omega_roll_deg_s,omega_used_deg_s,roll_gyro_deg,roll_acc_deg,roll_kf_deg,theta_pred_deg,residual_deg,K,P_pred,P
1.333000,0.021000,1.647949,2.807617,1.586914,-0.120728,-0.000610,0.997070,1.647949,-0.179717,0.113325,0.034819,-0.099236,-0.103676,0.138495,0.03206025,0.01460687,0.01413857
1.354000,0.021000,1.831055,2.807617,1.525879,-0.119873,-0.000244,0.996582,1.831055,0.003389,0.113396,0.013936,-0.095545,-0.099165,0.113100,0.03200225,0.01457957,0.01411299
1.375000,0.021000,1.770020,2.624512,1.647949,-0.119995,-0.000122,0.997559,1.770020,-0.057647,0.112186,0.006961,-0.093442,-0.096756,0.103717,0.03194789,0.01455399,0.01408902
1.396000,0.021000,1.708984,2.685547,1.586914,-0.120117,0.000000,0.997314,1.708984,-0.118682,0.109693,0.000000,-0.092875,-0.095935,0.095935,0.03189696,0.01453002,0.01406656
1.417000,0.020988,1.708984,2.807617,1.586914,-0.119873,-0.000366,0.996094,1.708984,-0.118682,0.107202,0.020914,-0.091658,-0.095365,0.116279,0.03188340,0.01450705,0.01404452
1.438000,0.021012,1.831055,2.746582,1.525879,-0.120361,-0.000488,0.997437,1.831055,0.003389,0.107274,0.027846,-0.087793,-0.091587,0.119433,0.03176828,0.01448602,0.01402583
1.459000,0.021000,1.892090,2.746582,1.708984,-0.121216,-0.000244,0.996704,1.892090,0.064424,0.108627,0.013932,-0.083252,-0.086440,0.100372,0.03176264,0.01446683,0.01400732
1.480000,0.021000,1.831055,2.807617,1.525879,-0.120117,-0.000488,0.996948,1.831055,0.003389,0.108698,0.027861,-0.079658,-0.083181,0.111041,0.03172330,0.01444832,0.01398997
1.501000,0.021000,1.770020,2.685547,1.831055,-0.120850,0.000488,0.996582,1.770020,-0.057647,0.107487,-0.027868,-0.079189,-0.080869,0.053000,0.03168641,0.01443097,0.01397371
1.522000,0.021000,1.647949,2.746582,1.708984,-0.120117,-0.000244,0.996826,1.647949,-0.179717,0.103713,0.013932,-0.079896,-0.082963,0.096895,0.03165182,0.01441471,0.01395845
1.543000,0.021000,1.770020,2.746582,1.586914,-0.119995,-0.000244,0.996216,1.770020,-0.057647,0.102502,0.013941,-0.078102,-0.081107,0.095047,0.03161940,0.01439945,0.01394415
1.564000,0.021000,1.770020,2.807617,1.708984,-0.120239,-0.000244,0.996948,1.770020,-0.057647,0.101292,0.013930,-0.076367,-0.079312,0.093242,0.03158898,0.01438515,0.01393074
1.585000,0.021000,1.770020,2.685547,1.647949,-0.119751,0.000122,0.995850,1.770020,-0.057647,0.100081,-0.006973,-0.075349,-0.077577,0.070604,0.03156046,0.01437174,0.01391816
1.606000,0.021000,1.831055,2.929688,1.525879,-0.120728,-0.000488,0.995361,1.831055,0.003389,0.100152,0.027902,-0.072024,-0.075278,0.103180,0.03153371,0.01435916,0.01390636
1.627000,0.021000,1.770020,2.990723,1.525879,-0.119019,-0.000122,0.995483,1.770020,-0.057647,0.098942,0.006976,-0.070707,-0.073235,0.080211,0.03150861,0.01434736,0.01389530
1.648000,0.021000,1.770020,2.868652,1.647949,-0.119507,0.000122,0.996338,1.770020,-0.057647,0.097731,-0.006970,-0.069873,-0.071918,0.064948,0.03148508,0.01433630,0.01388492
1.669000,0.021000,1.770020,2.868652,1.708984,-0.119507,0.000122,0.995850,1.770020,-0.057647,0.096521,-0.006973,-0.069067,-0.071084,0.064110,0.03146300,0.01432592,0.01387518
1.690000,0.021000,1.892090,2.868652,1.525879,-0.120483,-0.000366,0.996338,1.892090,0.064424,0.097874,0.020907,-0.064927,-0.067714,0.088621,0.03144228,0.01431618,0.01386605
1.711000,0.021000,1.708984,2.807617,1.525879,-0.120239,-0.000488,0.996826,1.708984,-0.118682,0.095381,0.027864,-0.064425,-0.067420,0.095283,0.03142286,0.01430705,0.01385748
1.732000,0.021000,1.831055,2.807617,1.586914,-0.120483,0.000122,0.996582,1.831055,0.003389,0.095452,-0.006967,-0.062552,-0.064354,0.057387,0.03140463,0.01429848,0.01384944
1.753000,0.021000,1.770020,2.746582,1.708984,-0.119629,-0.000366,0.996216,1.770020,-0.057647,0.094242,0.020912,-0.061105,-0.063763,0.084674,0.03138753,0.01429044,0.01384190
1.774000,0.021000,1.831055,2.807617,1.525879,-0.120239,-0.000488,0.995728,1.831055,0.003389,0.094313,0.027894,-0.058244,-0.061034,0.088928,0.03137148,0.01428290,0.01383482
1.795000,0.021000,1.770020,2.807617,1.770020,-0.120239,-0.000488,0.994629,1.770020,-0.057647,0.093102,0.027924,-0.056715,-0.059455,0.087379,0.03135643,0.01427582,0.01382818
1.816000,0.021000,1.892090,2.746582,1.647949,-0.119751,0.000122,0.997681,1.892090,0.064424,0.094455,-0.006960,-0.053845,-0.055362,0.048401,0.03134230,0.01426918,0.01382195
1.837000,0.021000,1.831055,2.807617,1.586914,-0.119141,-0.000244,0.993530,1.831055,0.003389,0.094527,0.013979,-0.051651,-0.053774,0.067753,0.03132905,0.01426295,0.01381611
1.858000,0.021000,1.770020,2.990723,1.586914,-0.119629,-0.000122,0.996826,1.770020,-0.057647,0.093316,0.006966,-0.050988,-0.052862,0.059828,0.03131661,0.01425711,0.01381062
1.879000,0.021000,1.770020,2.929688,1.586914,-0.119873,-0.000122,0.995361,1.770020,-0.057647,0.092105,0.006976,-0.050346,-0.052199,0.059175,0.03130494,0.01425162,0.01380548
1.900000,0.021000,1.831055,2.685547,1.647949,-0.119873,0.000244,0.996948,1.831055,0.003389,0.092177,-0.013931,-0.049138,-0.050275,0.036344,0.03129399,0.01424648,0.01380065
1.921000,0.021000,1.831055,2.990723,1.586914,-0.119141,-0.000488,0.995850,1.831055,0.003389,0.092248,0.027894,-0.046659,-0.049066,0.076961,0.03128371,0.01424165,0.01379612
1.942000,0.021000,1.770020,2.807617,1.647949,-0.120483,-0.000610,0.995605,1.770020,-0.057647,0.091037,0.034871,-0.045282,-0.047869,0.082740,0.03127407,0.01423712,0.01379186
1.963000,0.021000,1.831055,2.685547,1.647949,-0.119629,0.000244,0.996704,1.831055,0.003389,0.091108,-0.013934,-0.044233,-0.045211,0.031276,0.03126502,0.01423286,0.01378787
1.984000,0.021000,1.770020,2.807617,1.647949,-0.119263,-0.000366,0.996216,1.770020,-0.057647,0.089898,0.020913,-0.043369,-0.045443,0.066356,0.03125653,0.01422887,0.01378413
2.005000,0.021000,1.831055,2.929688,1.770020,-0.119263,-0.000488,0.996460,1.831055,0.003389,0.089969,0.027877,-0.041074,-0.043298,0.071175,0.03124856,0.01422513,0.01378061
2.026000,0.021000,1.708984,2.746582,1.586914,-0.120728,0.000244,0.995972,1.708984,-0.118682,0.087477,-0.013943,-0.042641,-0.043566,0.029624,0.03124108,0.01422161,0.01377731
2.047000,0.021000,1.647949,2.807617,1.647949,-0.120361,0.001221,0.996948,1.647949,-0.179717,0.083703,-0.069649,-0.047141,-0.046415,-0.023235,0.03123406,0.01421831,0.01377422
2.068000,0.021000,1.770020,2.868652,1.525879,-0.120239,-0.000732,0.994873,1.770020,-0.057647,0.082492,0.041876,-0.045534,-0.048351,0.090227,0.03122747,0.01421522,0.01377131
2.089000,0.021000,1.770020,2.807617,1.647949,-0.121094,-0.000488,0.997192,1.770020,-0.057647,0.081281,0.027851,-0.044415,-0.046744,0.074595,0.03122128,0.01421231,0.01376859
2.110000,0.021000,1.708984,2.868652,1.708984,-0.119873,0.001465,0.996338,1.708984,-0.118682,0.078789,-0.083635,-0.048054,-0.046908,-0.036727,0.03121548,0.01420959,0.01376603
2.131000,0.021000,1.770020,2.929688,1.586914,-0.120483,0.000000,0.996826,1.770020,-0.057647,0.077578,0.000000,-0.047727,-0.049265,0.049265,0.03121003,0.01420703,0.01376362
2.152000,0.020988,1.831055,2.807617,1.708984,-0.121704,-0.000244,0.995361,1.831055,0.003389,0.077650,0.013950,-0.045731,-0.047656,0.061605,0.03123842,0.01420412,0.01376041
2.173000,0.021012,1.953125,2.746582,1.586914,-0.120117,0.000244,0.996704,1.953125,0.125459,0.080286,-0.013934,-0.042186,-0.043095,0.029162,0.03116463,0.01420191,0.01375931
