time_s,Ts_s,gx_deg_s,gy_deg_s,gz_deg_s,ax_g,ay_g,az_g,omega_roll_deg_s,omega_used_deg_s,roll_gyro_deg,roll_acc_deg,roll_kf_deg,theta_pred_deg,residual_deg,K,P_pred,P
2.005000,0.100000,1.770020,2.807617,1.586914,-0.127808,-0.000122,0.995728,1.770020,-0.057647,0.526915,0.006967,-0.015383,-0.017733,0.024700,0.09512492,0.10512494,0.09512494
2.026000,0.100000,1.831055,2.807617,1.647949,-0.127075,0.000122,0.996216,1.831055,0.003389,0.527253,-0.006964,-0.014276,-0.015044,0.008080,0.09512492,0.10512494,0.09512494
2.047000,0.100000,1.770020,2.685547,1.647949,-0.127930,-0.000488,0.995239,1.770020,-0.057647,0.521489,0.027881,-0.015482,-0.020040,0.047921,0.09512492,0.10512494,0.09512494
2.068000,0.100000,1.831055,2.868652,1.770020,-0.128052,0.000122,0.995605,1.831055,0.003389,0.521828,-0.006968,-0.014365,-0.015143,0.008175,0.09512492,0.10512494,0.09512494
2.089000,0.100000,1.892090,2.868652,1.586914,-0.128906,-0.000244,0.995972,1.892090,0.064424,0.528270,0.013929,-0.005844,-0.007923,0.021852,0.09512492,0.10512494,0.09512494
2.110000,0.100000,1.708984,2.746582,1.586914,-0.127197,-0.000122,0.995728,1.708984,-0.118682,0.516402,0.006968,-0.015365,-0.017712,0.024680,0.09512492,0.10512494,0.09512494
2.131000,0.100000,1.708984,2.868652,1.525879,-0.127808,-0.001587,0.995117,1.708984,-0.118682,0.504534,0.090625,-0.016022,-0.027233,0.117858,0.09512492,0.10512494,0.09512494
2.152000,0.100000,1.770020,2.929688,1.770020,-0.128052,0.000000,0.994629,1.770020,-0.057647,0.498769,0.000000,-0.019714,-0.021786,0.021786,0.09512492,0.10512494,0.09512494
2.173000,0.100000,1.770020,2.807617,1.647949,-0.126953,0.000244,0.996338,1.770020,-0.057647,0.493004,-0.013927,-0.024380,-0.025479,0.011552,0.09512492,0.10512494,0.09512494
2.194000,0.100000,1.892090,2.746582,1.586914,-0.126953,0.000122,0.994629,1.892090,0.064424,0.499447,-0.006975,-0.016895,-0.017937,0.010962,0.09512492,0.10512494,0.09512494
2.215000,0.100000,1.770020,2.990723,1.525879,-0.127930,-0.000488,0.994263,1.770020,-0.057647,0.493682,0.027908,-0.017849,-0.022659,0.050567,0.09512492,0.10512494,0.09512494
2.236000,0.100000,1.892090,2.685547,1.647949,-0.129150,0.000244,0.995117,1.892090,0.064424,0.500124,-0.013940,-0.011648,-0.011407,-0.002533,0.09512492,0.10512494,0.09512494
2.257000,0.100000,1.708984,2.868652,1.464844,-0.126587,-0.000122,0.996338,1.708984,-0.118682,0.488256,0.006964,-0.020616,-0.023516,0.030480,0.09512492,0.10512494,0.09512494
2.278000,0.100000,1.831055,2.868652,1.586914,-0.126343,-0.000610,0.994385,1.831055,0.003389,0.488595,0.034888,-0.015030,-0.020278,0.055165,0.09512492,0.10512494,0.09512494
2.299000,0.100000,1.831055,2.807617,1.647949,-0.128540,-0.000854,0.997314,1.831055,0.003389,0.488934,0.048688,-0.008662,-0.014691,0.063379,0.09512492,0.10512494,0.09512494
